事業所名,区,所在地,営業時間,TEL,PCR検査等,抗原定性検査,備考
アイン薬局　芝大門店,港区,港区芝大門1-1-33三洋ビル1階,"月〜金　14:00〜15:00
土日祝　休み",,False,True,メールアドレスなしで受検可能
アイン薬局　板橋店,板橋区,板橋区稲荷台10-8,"月〜金　9:00〜9:30
土日祝　休み",,False,True,メールアドレスなしで受検可能
アイン薬局　目黒鷹番店,目黒区,目黒区鷹番3-6-18カザーナ学芸大学1階,"月〜金　13:00〜15:00
土　13:00〜14:00
日祝　休み",,False,True,メールアドレスなしで受検可能
アイン薬局　目黒店,目黒区,目黒区中町2-30-5敦岡ビル,"月〜金　18:00〜18:30
土　9:00〜9:30
日祝　休み",,False,True,メールアドレスなしで受検可能
フジ薬局　板橋大山店,板橋区,板橋区大山西町６３−３　ドエルフローラ１階,"月火水金　9:30〜13:00/14:00〜17:00
木土日祝　休み",,True,True,
アール薬局,町田市,町田市西成瀬1-50-29,"月〜金　10:00〜17:00
土日祝　休み",,True,True,
スマイル薬局田町店,港区,港区芝浦3-12-2,"月〜金　9:00〜17:00
土日祝　休み",,True,True,
スマイル薬局芝浦3丁目店,港区,港区芝浦3-2-22,"月〜土　9:00〜17:00
日祝　休み",,True,True,
スマイル薬局芝浦海岸通店,港区,港区芝浦4-13-23　ＭＳビル1Ｆ,"月〜金　9:00〜17:00
土　11:00〜17:00
日祝　休み",,True,True,
あい薬局戸越銀座店,品川区,品川区平塚1-7-16　1階,"月〜土　9:00〜17:00
日祝　休み",,True,True,
セイムス学芸大学駅前薬局,目黒区,目黒区鷹番2-19-21,"月〜土　9:00〜17:00
日祝　休み",,True,True,
ひまわり薬局　都立大店,目黒区,目黒区八雲1-4-3駒原ビル3階,"月〜金　9:00〜17:00
土日祝　休み",,True,True,
スマイル薬局池上店,大田区,大田区池上７−６−１０,"月〜金　9:00〜17:00
土日祝　休み",,True,True,
スマイル薬局池上駅前店,大田区,大田区池上6-9-9,"月〜土　9:00〜17:00
日祝　休み",,True,True,
スマイル薬局石川台店,大田区,大田区東雪谷2-14-2,"月〜土　9:00〜17:00
日祝　休み",,True,True,
スマイル薬局西糀谷店,大田区,大田区西糀谷4-14-18,"月〜土　9:00〜17:00
日祝　休み",,True,True,
ドラッグセイムス大森中央薬局,大田区,大田区中央３−２６−２２,"月火水金　9:00〜17:00
木土日祝　休み",,True,True,
すずらん薬局　下北沢店,世田谷区,世田谷区北沢2-34−3　クリスタルベスル1D号室,"月〜金　9:00〜17:00
土日祝　休み",,True,False,
ドラッグセイムス世田谷桜新町薬局,世田谷区,世田谷区桜新町１−１９−１４,"月火水金　10:00〜17:00
木土日祝　休み",,True,True,
スマイル薬局久我山店,杉並区,杉並区久我山2-12-9,"月〜土　9:00〜17:00
日祝　休み",,True,True,
セイムス久我山駅前薬局,杉並区,杉並区久我山2-28-4　久我山MCビルディング1階,"月〜金　10:00〜17:00
土日祝　休み",,True,True,
セイムス高円寺駅前薬局,杉並区,杉並区高円寺南４−２９−２ミヤシタビル1階,"月〜金　9:00〜17:00
土日祝　休み",,True,True,
セイムス王子薬局,北区,北区王子２−２７−７,"月〜金　9:00〜17:00
土日祝　休み",,True,True,
ドラッグセイムス上板橋南口薬局,板橋区,板橋区上板橋２−３１−１３　木下ビル,"月〜土　14:00〜17:00
日祝　休み",,True,True,
セイムス高松薬局,練馬区,練馬区高松１−１４−５ローズガーデン１階,"月〜金　9:00〜17:00
土日祝　休み",,True,True,
ドラッグセイムス青梅大門薬局,青梅市,青梅市大門３−１６−２２,"月〜金　9:00〜17:00
土日祝　休み",,True,True,
ドラッグセイムス青梅河辺6丁目薬局,青梅市,青梅市河辺町６−１０−１,"月〜金　10:00〜17:00
土日祝　休み",,True,True,
ドラッグセイムス青梅藤橋薬局,青梅市,青梅市藤橋2-561-4,"月〜土　13:00〜15:00
日祝　休み",,True,True,
おひさま薬局　福生店,福生市,福生市牛浜5-1,"月火木金　14:00〜15:00
水土日祝　休み",,True,True,
スマイル薬局福生店,福生市,福生市加美平１−６−１１,"月〜金　9:00〜17:00
土日祝　休み",,True,True,
セイムス南田園調剤薬局,福生市,福生市南田園１−５−２,"月火水金　9:00〜17:00
木土日祝　休み",,True,True,
ドラッグセイムス残堀薬局,武蔵村山市,武蔵村山市残堀5-155-1,"月〜土　9:00〜17:00
日祝　休み",,True,True,
ドラッグセイムス多摩落合薬局,多摩市,多摩市落合6-15-4　第5椎の木ビル1F,"月〜金　14:00〜17:00
土日祝　休み",,True,True,
セイムス小作駅西口薬局,羽村市,羽村市小作台5-9-10,"月〜金　9:00〜17:00
土日祝　休み",,True,True,
八王子薬剤センター薬局,八王子市,八王子市館町1097,"月〜金   9:00〜17:00
第1/3/5土　9:00〜14:00
第2/4土・日祝　休み",,False,True,
エスト調剤薬局,大田区,大田区上池台2-31-12,"月〜金　9:00〜19:00
土　9:00〜13:00
日祝　休み",,False,True,メールアドレスなしで受検可能
メイプル薬局,大田区,大田区上池台2-40-11,"月〜金　9:00〜17:00
土　9:00〜13:30
日祝　休み",,False,True,メールアドレスなしで受検可能
ひまわり皮膚科,江東区,江東区亀戸2-26-8　風月堂ビル2F,"月〜金　11:00〜13:00/14:30〜16:30　
土日祝　休み",,True,False,
よつば皮膚科,江戸川区,江戸川区平井4-11-5　平井イスズビル2F,"月〜金　11:00〜13:00/14:30〜16:30　
土日祝　休み",,True,False,
親和ハートフルクリニック,江戸川区,江戸川区平井2-24-16　東京育明会ビル1階,"月〜水　9:00〜13:00/14:00〜18:00
木　10:00〜13:00/14:00〜18:00
金　9:00〜13:00
土　9:00〜13:00/14:00〜17:00
日祝　休み",,True,False,
イオン薬局第二東雲店,江東区,江東区東雲一丁目9番10号 イオン東雲ショッピングセンター2階,"月〜金　12:00〜17:00
土　14:00〜19:00
祝　11:00〜19:00
日　休み",,False,True,メールアドレスなしで受検可能
上田クリニック,世田谷区,世田谷区奥沢７丁目１９番９号,"月〜金　10:00〜12:00/14:00〜18:00
土日祝　休み",,True,False,
飯田橋東口内科心療内科診療所,千代田区,千代田区飯田橋4-9-9　第7田中ビル8階,"月火木　9:00〜21:00
金土　9:00〜17:00
水日祝　休み",,True,False,
はりま坂サンテ薬局,文京区,文京区小石川四丁目２１番１号　小石川四丁目ビル１０２,"月〜金　9:30〜19:00
土　9:30〜16:00
日祝　休み",,True,True,メールアドレスなしで受検可能
医療法人社団キャンサーフリートピア　銀座並木通りクリニック,中央区,中央区銀座四丁目2番2号　第1弥生ビルディング7階,"月〜木　10:00〜17:30（予約制：当日受付可）
金　10:00〜12:00（予約制：当日受付可）
土日祝　休み",,True,True,
なないろ薬局,大田区,大田区山王2-1-5 大森駅ビルララ1F,"月火水金　10:00〜19:30　　
木土　　　10:00〜14:00
日祝　休み",,True,True,
ケーエム薬局山崎店,町田市,町田市山崎町334-2,"月火水金　9:00〜18:00　
木　9:00〜17:00
土　9:00〜13:00
日祝　休み",,False,True,メールアドレスなしで受検可能
桜薬局,町田市,町田市根岸町1009-3,"月火水金　9:00〜18:00　
木　9:00〜17:00
土　9:00〜13:00
日祝　休み",,False,True,メールアドレスなしで受検可能
ラ・メール薬局　金町店,葛飾区,葛飾区東金町1-44-15　菅野ビル１Ｆ,"月〜金　10:00〜17:00
土日祝 　休み",,True,True,
共創未来和田薬局,杉並区,杉並区和田1-12-13,"月〜金　9:00〜18:00
土日祝　休み",03-3380-5452,False,True,メールアドレスなしでも検査可能
医療法人社団幸望会　ハーモニー歯科,足立区,足立区竹の塚3丁目5番5号,"月〜金　10:00〜12:00/13:00〜16:00
土　10:00〜12:00
日祝　休み",070-7773-6574,True,False,"※事前にご連絡ください
メールアドレスなしで受検可能"
【PCRラボ】ICheck×nanoAce 浜松町駅前ハマサイトPCR検査場,港区,港区海岸1丁目2-20 汐留ビルディング２F クリニックモール内,"月〜土（祝含む）　10:00〜19:00
日　休み",090-4701-5598,True,False,
【PCRラボ】ICheck×nanoAce 赤坂PCR検査場,港区,港区赤坂2丁目13-4 第15大協ビル 3F,"月〜金　12:00〜21:00
土日祝　10:00〜19:00
不定休",03-6435-5376,True,False,
tokyoartsgallery,港区,港区麻布十番3-7-4-2F,"月〜日（祝含む）　11:00〜20:00
無休",,True,False,メールアドレスなしで受検可能
赤坂見附・無料PCR検査センター,港区,港区赤坂3-10-5赤坂クインビル501,"月〜金　11:00〜19:00
土日祝　休み",,True,False,
【PCRラボ】ICheck×nanoAce 大井町駅PCR検査場,品川区,品川区東大井5-2-3 K-15ビル あおい元気館 3F,"月〜土（祝含む）　10:00〜19:00
日　休み",,True,False,
サルスクリニック日本橋,中央区,中央区日本橋2-8-1 東京日本橋タワーアネックスB1F,"月〜金　9:00〜21:00　
土日祝　9:00〜17:00
無休",,True,True,メールアドレスなしで受検可能
小山調剤薬局,品川区,品川区小山４−４−１９,"月〜金　10:00〜19:00	
土日祝　休み",,False,True,
せわのわ在宅支援＆健康薬局,大田区,大田区池上三丁目32-17　第26下川ビル　ツインウッドスクエアー1F,"月〜金　10:00〜15:00
土日祝　休み",,True,True,
SmaCheck築地店,中央区,中央区築地6-3-9,"月〜日（祝含む）　10:00〜19:00
無休",03-6264-0944,True,True,
医療法人社団アダット　アダット中野訪問クリニック,中野区,中野区本町１丁目３１番６号マンション中野坂上２０３号　医療法人社団アダット,"営業時間はお電話にて確認をお願い致します。
03-5304-5080",03-5304-5080,True,False,
新島村役場,新島村,新島村本村１−１−１　新島村役場,"月〜金　8:30〜17:15
土日祝　休み",,True,False,
新島村役場　式根島支所,新島村,新島村式根島255-1,"月〜金　8:30〜17:15
土日祝　休み",,True,False,
新島村役場　若郷支所,新島村,新島村若郷1-4,"月〜金　8:30〜17:15
土日祝　休み",,True,False,
稲垣薬局　東村山店,東村山市,東村山市諏訪町2-32-2,"当日、混み具合によってお待たせするかもしれません
水金　9:00〜11:00
月火木土日祝　休み",042-395-5703,True,True,
クリエイト薬局豊島要町店,豊島区,豊島区要町1-8-11　要町東洋ビル1階,"月〜木　10:00〜16:00
金　10:00〜14:00
土日祝　休み",,True,False,
クリエイトエス･ディー立川栄町店薬局,立川市,立川市栄町3-5-1,"月〜木　10:00〜16:00
金　10:00〜14:00
土日祝　休み",,True,False,
クリエイト薬局北区滝野川店,北区,北区滝野川6-21-19,"月〜木　10:00〜16:00
金　10:00〜14:00
土日祝　休み",,True,False,
クリエイト薬局八王子台町店,八王子市,八王子市台町2-22-8,"月〜木　10:00〜16:00
金　10:00〜14:00
土日祝　休み",,True,False,
クリエイト薬局世田谷砧店,世田谷区,世田谷区砧3-2-5,"月〜木　10:00〜16:00
金　10:00〜14:00
土日祝　休み",,True,False,
クリエイト薬局谷保駅北口店,国立市,国立市富士見台2-14-3,"月〜木　10:00〜16:00
金　10:00〜14:00
土日祝　休み",,True,False,
稲垣薬局　本店,武蔵野市,武蔵野市吉祥寺本町1-13-3,"月〜日（祝含む）　10:00〜18:00
無休",0422-22-5566,True,True,
たむら薬局栄町店,練馬区,練馬区栄町32-8,"月〜金　19:30〜20:30
土　14:00〜15:00
日祝　休み",,False,True,メールアドレスなしで受検可能
すみれ薬局,板橋区,板橋区高島平1-72-14-101,"月〜金　9:00〜19:00
土　9:00〜13:30
日祝　休み",,False,True,メールアドレスなしで受検可能
みらくる薬局品川駅前店,港区,港区港南2丁目6-7　大善ビル2階,"検査実施時間
月水金　10:00〜11:00/15:00〜16:00
原則予約制
日祝　休み",03-6433-2670,False,True,メールアドレスなしで受検可能
渋谷PCR検査センター,渋谷区,渋谷区宇田川町29-2,"月〜日（祝含む）　10:00〜19:00
無休",09085706864,True,True,メールアドレスなしで受検可能
MARU By Tokyo Business Clinic,千代田区,千代田区丸の内1丁目8番2号 鉄鋼ビルディング1階,"月〜日（祝含む）　9:00〜21:00（最終受付 20:30）
無休",,False,True,"※ホームページにアクセスの上、予約をお願いします
https://www.ckreserve.com/clinic/tbcpcr"
東京ビジネスクリニック　八重洲北口,千代田区,千代田区丸の内1丁目8番2号 鉄鋼ビルディング地下1階,"月〜日（祝含む）　9:00〜21:00（最終受付 20:30）
無休",,False,True,"※ホームページにアクセスの上、予約をお願いします
https://www.ckreserve.com/clinic/tbcpcr"
梅島薬局,足立区,足立区梅島1-6-12,"月〜金　9:30〜18:00
土　9:30〜13:00
日祝　休み",,False,True,メールアドレスなしで受検可能
ジェネシスヘルスケア株式会社,渋谷区,渋谷区恵比寿四丁目20番3号　恵比寿ガーデンプレイスタワー２６階,"月〜金　10:00〜13:00/14:00〜17:00
日祝　休み",,True,False,
みらくる薬局　日本橋店,中央区,中央区日本橋堀留町2丁目6-6　ライフサイエンスビル1階,"月金　9:00〜20:00
火水木　9:00〜19:30
土　9:00〜18:00
日祝　休み",,False,True,メールアドレスなしで受検可能
新宿５丁目検査ステーション,新宿区,新宿区新宿5-17-16,"月〜日（祝含む）　9:00〜19:00
無休",,False,True,メールアドレスなしで受検可能
浅草検査ステーション,台東区,台東区浅草2-26-7 hotelMONday1Fロビー,"月〜日（祝含む）　10:00〜13:00/14:00〜19:00
無休",,False,True,メールアドレスなしで受検可能
立川検査ステーション,立川市,立川市錦町2-1-25 アトム企画ビル1F,"土日　12:00〜20:00
月〜金（祝含む）　休み",,False,True,メールアドレスなしで受検可能
霞ヶ関診療所,港区,港区虎ノ門1-1-18　ヒューリック虎ノ門ビル２F,"火〜金　18:30〜20:30
土日祝　9:00〜20:30
月　休み（祝日の場合は9:00〜20:30で実施）",03-3501-7797,True,False,"メールアドレスなしで受検可能
※土日祝はビルの扉が閉鎖されているため訪問前に事前にご連絡をお願い致します。
080-8811-7000"
方南町PCR検査研究所受付センター,杉並区,杉並区方南2-15-1 ヒルサイドテラス101,"月〜金　9:30〜15:00
土日祝　9:00〜15:00
無休",,True,True,
青空PCR検査センター　浮間店,北区,北区浮間2-17-9,"月〜金　9:00〜14:00
土日祝　9:00〜17:00
無休",,True,False,※メールアドレスなしでも受検可能
三宅村　伊ヶ谷出張所,三宅島三宅村,三宅島三宅村伊ケ谷330,"月〜金　13:30〜17:00
土日祝　休み",,True,False,
三宅村　伊豆出張所,三宅島三宅村,三宅島三宅村伊豆1054,"月〜金　8:30〜12:00
土日祝　休み",,True,False,
三宅村　坪田出張所,三宅島三宅村,三宅島三宅村坪田3050,"月〜金　8:30〜17:00
土日祝　休み",,True,False,
三宅村　神着出張所,三宅島三宅村,三宅島三宅村神着197,"月〜金　8:30〜17:00
土日祝　休み",,True,False,
三宅村役場 (福祉健康課健康係窓口),三宅島三宅村,三宅島三宅村阿古497,"月〜金　8:30〜17:00
土日祝　休み",,True,False,
南山堂薬局府中店,府中市,府中市武蔵台2-16-3,"月〜金　9:00〜18:00
土　9:00〜17:00
日祝　休み",,True,True,メールアドレスなしで受検可能
プリベントメディカル株式会社,中央区,中央区日本橋小舟町9番18号,"月〜金　10:00〜17:00
土日祝　休み",,True,False,
SmaCheck神田店,千代田区,千代田区内神田3丁目21‐6　森山ビル1階,"月火水木金土祝　10:00〜16:00
日　休み",050-5304-3045,True,True,
SmaCheck西新宿店,新宿区,新宿区西新宿7‐20‐16　ダイカンプラザシティ?　403号室,"月〜日（祝含む）　11:30〜22:00
無休",03-5937-0540,True,True,
SmaCheck高田馬場店,新宿区,新宿区高田馬場4‐23‐17　FOREST1階,"月〜日（祝含む）　10:00〜19:00
無休",03-6908-7412,True,True,
C-PASS 検査センター,目黒区,目黒区下目黒2-3-4 フタバ目黒ビル２F,"月〜日（祝含む）　11:00〜16:00
無休",,True,False,※ご予約はURLにてLINE予約で受付しております。
Smacheck銀座7丁目店,中央区,中央区銀座7-2-11 vitaminG 4F,"月〜金　12:00〜26:00
土　　　16:00〜24:00
日祝　休み",070-6481-5753,True,True,
大島駅前クリニック,江東区,江東区大島5丁目10-10 セントラルプラザ大島1階,"火〜土　9:00〜12:15/14:00〜18:00
日　10:00〜12:00
月祝　休み",,True,True,メールアドレスなしで受検可能
平成薬局亀戸店,江東区,江東区亀戸6-26-5 日土地亀戸ビル1階,"月〜金　9:00〜17:00
土日祝　休み",,True,True,
ひかり薬局,板橋区,板橋区大谷口上町21-6 森本ビル１Ｆ,"月〜土　13:00〜17:00
日祝　休み",,True,True,
かける薬局　上石神井店,練馬区,練馬区上石神井四丁目３番２３号ホワイトフェニックスビル２０６,"月水木金　9:00〜21:00
火土日　9:00〜18:00
祝　休み",,False,True,メールアドレスなしで受検可能
南山堂薬局御茶ノ水店,千代田区,千代田区神田駿河台4-1-2　ステラお茶の水ビル1F,"月〜土　9:00〜18:00
日祝　休み",,True,True,メールアドレスなしで受検可能
南山堂薬局浅草橋駅前店,台東区,台東区浅草橋1-30-9 　ヒューリック浅草橋江戸通ビル1階,"月〜金　9:00〜19:00
土　9:00〜13:00
日祝　休み",,True,True,メールアドレスなしで受検可能
南山堂薬局錦糸公園前店,墨田区,墨田区太平3-4-8 　KOIKE Bld.1F・2F,"月〜金　9:00〜20:00
土　9:00〜19:00
日祝　9:00〜17:00
無休",,True,True,メールアドレスなしで受検可能
南山堂薬局江東千石店,江東区,江東区千石2-10-6 　JU TOWERFRONT千石1F,"月火金　8:30〜18:30
水　9:00〜18:30
木　8:30〜18:00
土　8:30〜13:30
日祝　休み",,True,True,メールアドレスなしで受検可能
南山堂　公園通り薬局駅前店,品川区,品川区戸越5-18-7 1階,"月〜金　9:00〜19:30
土　9:00〜15:00
日祝　休み",,True,True,メールアドレスなしで受検可能
南山堂薬局武蔵小山駅前店,品川区,品川区小山3丁目14番1号　シティタワー武蔵小山1階,"月〜日（祝含む）　9:00〜21:00
無休",,False,True,メールアドレスなしで受検可能
南山堂薬局下北沢店,世田谷区,世田谷区代沢5-18-1 　代沢カラバッシュ1階B-1,"月火木金　9:00〜18:30
水土　9:00〜17:00
日祝　休み",,True,True,メールアドレスなしで受検可能
南山堂薬局新宿駅南口店,渋谷区,渋谷区代々木2-11-14 　NKビル1F,"月〜金　9:00〜19:00
土　9:00〜18:00
日　9:00〜17:00
祝　休み",,True,True,メールアドレスなしで受検可能
南山堂薬局高円寺北口店,杉並区,杉並区高円寺北2-3-3WHARF高円寺1F,"月〜金　9:00〜19:00
土　9:00〜18:00
日祝　休み",,True,True,メールアドレスなしで受検可能
南山堂薬局下石神井店,練馬区,練馬区下石神井4-7-28 　グランバトー・M,"月〜土　9:00〜18:30
日祝　休み",,True,True,メールアドレスなしで受検可能
南山堂薬局お花茶屋店,葛飾区,葛飾区宝町2-23-3 宝町第3ハルビル1階,"月〜金　9:00〜19:00
土　9:00〜13:00
日祝　休み",,True,True,メールアドレスなしで受検可能
南山堂薬局八王子店,八王子市,八王子市横山町22-3    メディカルタワー八王子1階,"月〜金　9:00〜19:00
土　9:00〜16:00
日祝　休み",,True,True,メールアドレスなしで受検可能
南山堂薬局片倉店,八王子市,八王子市片倉町342-3     K's片倉ビル1F,"月火木金　9:00〜18:00
水　9:00〜17:30
土　9:00〜16:30
日祝　休み",,True,True,メールアドレスなしで受検可能
南山堂薬局武蔵境駅前店,武蔵野市,武蔵野市境南町4-1-16,"月〜金　9:00〜18:00
土　9:00〜17:30
日祝　休み",,False,True,メールアドレスなしで受検可能
田辺薬局天王洲駅店,品川区,品川区東品川2-2-20天王洲オーシャンスクエア2F 204A,"月〜金　13:30〜15:00
土日祝　休み",,True,True,
東砂都市型軽費老人ホーム,江東区,江東区東砂6-10-13,"月〜日（祝日含む）　9:00〜18:00
無休",,True,False,
医療法人　愛優会,江戸川区,江戸川区西葛西5-9-11,"月〜日（祝含む）　9:00〜18:00
無休",,True,False,
西葛西三丁目診療所,江戸川区,江戸川区西葛西三丁目11-8第5サンキビル102,"月〜日（祝含む）　9:00〜18:00
無休",03-3869-1465,True,False,
銀座ＢＥＲＥＡＧＥクリニック,港区,港区新橋2-19-4　SNTビル1階,"月〜金　8:00〜20:00
土日祝　10:00〜18:00
無休",03-6280-6153,True,True,メールアドレスなしで受検可能
田辺薬局多摩聖蹟店,多摩市,多摩市関戸2-66-1,"月火水金　12:00〜13:00/14:00〜15:00
（木土は営業しているが検査実施なし）
定休日　日祝",,True,True,
田辺薬局西新井本店,足立区,足立区西新井栄町1-17-1　PASSAGGIO西新井１階,"火木土　17:00〜18:00
月水金日祝　休み",,True,True,
一般社団法人静純会ウェルネストクリニック,渋谷区,渋谷区道玄坂2-3-2大外ビル3階,"月〜土　10:00〜13:00/15:00〜18:00
日　10:00〜13:00
祝　休み",,True,False,
みのり薬局,中央区,中央区月島３丁目１３番４号　善利ビル１階,"月〜金　13:00〜15:00
土日祝　休み",03-3532-6771,True,True,"電話予約必須
メールアドレスなしで受検可能"
あかね薬局,文京区,文京区大塚４丁目４５番１０号,"月〜土　13:00〜15:00
日祝　休み
＊完全予約制（空きがあれば当日対応可能）",03-3945-4308,True,True,
はるか薬局,台東区,台東区千束２丁目１９番２号,"水　14:00〜14:30
月火木金土日祝　休み",,True,True,"メールアドレスなしで受検可能
電話のみの受付（予約制）"
すずかぜ薬局,墨田区,墨田区江東橋４丁目１５番５号　立田第９ビル,"薬局：月〜金　9:00〜17:30
　　　土　9:00〜17:00
　　　日祝休み

検査時間：月〜金　16:00〜17:30
　　　　　土日祝休み",03-3634-3575,True,True,メールアドレスなしで受検可能
とまと薬局,江東区,江東区大島６丁目９番１１号,"月〜日　9:00〜15:00 
土日祝　休み",,True,True,
のぞみ薬局,江東区,江東区亀戸６丁目１３番３号,"月火木金　8:00〜18:30
水　9:00〜18:00
土　9:00〜13:30
日　9:00〜13:30
祝　休み",,True,True,
あすか薬局,江戸川区,江戸川区西小岩１丁目２３番１８号リッカービル1階,"月〜金　9:00〜11:00
土日祝　休み",,True,True,メールアドレスなしで受検可能
なごみ薬局,江戸川区,江戸川区中葛西５丁目４１番１２号,"月〜金　13:00〜15:00
土日祝　休み",,True,True,メールアドレスなしで受検可能
はなまる薬局 赤羽店,北区,北区赤羽2-15-10山田ビル1F,"月木金　10:00〜11:00　
土　17:00〜18:00
火水日祝休み
来店される前に事前連絡をお願いします（03-5249-5202）",,False,True,
アイン薬局 金森店（ドライブスルー方式のみ行う）,町田市,町田市金森1-27-18,"木　14:00〜16:00
月火水金土日祝   休み
来店される前に事前連絡をお願いします（042-860-6693）",042-860-6693,False,True,
医療法人ネオポリス診療所　新宿皮フ科,新宿区,新宿区新宿3-24-1NEWNO・GS新宿10階,"月〜金　10:00〜13:30/ 15:00〜19:00
土日祝　10:00〜13:30
無休",,True,True,
稲垣薬局　クオラ武蔵境店,武蔵野市,武蔵野市境1-1-7　QuOLa1F,"火木　10:00〜12:00 
水　10:00〜18:00 
土　17:00〜18:00 
月金日祝　休み",0422-57-0138,True,True,
利島村役場,利島村,利島村248,"月〜金　8:15〜12:00/13:00〜17:00
土日祝日　休み",,True,False,
鐘ヶ渕薬局 駐車場,墨田区,墨田区墨田2-12-8,"月〜金　9:00〜17:00
土　9:00〜14:00
日祝　休み",03-3611-6478,True,True,"ドライブスルー方式の対応も可能
メールアドレスなしで受検可能"
向日葵商事株式会社,中央区,中央区銀座3-12-19-4F,"月〜日（祝含む）　9:00〜20:00
無休",,True,True,メールアドレスなしで受検可能
四ツ葉薬局,台東区,台東区上野6-7-16川久保ビル１F,"月〜日（祝含む）　9:00〜20:00
無休",,True,True,メールアドレスなしで受検可能
中目黒トライ,目黒区,目黒区上目黒3丁目6,"月〜日（祝含む）　9:00〜20:00
無休",,True,True,メールアドレスなしで受検可能
東京中央美容外科　渋谷西口院出張所,渋谷区,渋谷区道玄坂2-23-12 フォンティスビル3F,"月〜日（祝日含む）　10:00〜19:00
※予約不要
※不定休　クリニックの営業日は下記をご確認ください
https://tokyo-brain.clinic/",,True,False,
TCB　東京中央美容外科　銀座有楽町院出張所,千代田区,千代田区有楽町2-3-5 aune有楽町 5Ｆ,"月〜日（祝日含む）　10:00〜19:00
※予約不要
※不定休　クリニックの営業日は下記をご確認ください
https://tokyo-brain.clinic/",,True,False,
TCB　東京中央美容外科　銀座二丁目院出張所,中央区,中央区銀座2-6-9 Ginza269ビル9F,"月〜日（祝日含む）　10:00〜19:00
※予約不要
※不定休　クリニックの営業日は下記をご確認ください
https://tokyo-brain.clinic/",,True,False,
TCB　東京中央美容外科　品川院出張所,港区,港区高輪3-23-17 品川センタービルディング?201,"月〜日（祝日含む）　10:00〜19:00
※予約不要
※不定休　クリニックの営業日は下記をご確認ください
https://tokyo-brain.clinic/",,True,False,
TCB　東京中央美容外科　新宿東口院出張所,新宿区,新宿区歌舞伎町1丁目27-5 歌舞伎町APMビル7F,"月〜日（祝日含む）　10:00〜19:00
※予約不要
※不定休　クリニックの営業日は下記をご確認ください
https://tokyo-brain.clinic/",,True,False,
TCB　東京中央美容外科　高田馬場院出張所,新宿区,新宿区高田馬場2-17-15 唐橋ビル?7F・8F,"月〜日（祝日含む）　10:00〜19:00
※予約不要
※不定休　クリニックの営業日は下記をご確認ください
https://tokyo-brain.clinic/",,True,False,
TCB　東京中央美容外科　上野院出張所,台東区,台東区上野4-10-5 THE V-CITY UENO?7・8F,"月〜日（祝日含む）　10:00〜19:00
※予約不要
※不定休　クリニックの営業日は下記をご確認ください
https://tokyo-brain.clinic/",,True,False,
TCB　東京中央美容外科　池袋西口院出張所,豊島区,豊島区西池袋5-1-3 メトロシティ西池袋ビル 3F,"月〜日（祝日含む）　10:00〜19:00
※予約不要
※不定休　クリニックの営業日は下記をご確認ください
https://tokyo-brain.clinic/",,True,False,
TCB　東京中央美容外科　立川店出張所,立川市,立川市曙町2-11-2 フロム中武?6F,"月〜日（祝日含む）　10:00〜19:00
※予約不要
※不定休　クリニックの営業日は下記をご確認ください
https://tokyo-brain.clinic/",,True,False,
TCB　東京中央美容外科　町田院出張所,町田市,町田市原町田6-3-3 町映ビル 5F,"月〜日（祝日含む）　10:00〜19:00
※予約不要
※不定休　クリニックの営業日は下記をご確認ください
https://tokyo-brain.clinic/",,True,False,
TCB　東京中央美容外科　渋谷東口院出張所,渋谷区,渋谷区渋谷2-19-15　宮益坂ビルディング 3F,"月〜日（祝日含む）　10:00〜19:00
※予約不要
※不定休　クリニックの営業日は下記をご確認ください
https://tokyo-brain.clinic/",,True,False,
医療法人社団メディカルフロンティア TCB　東京中央美容外科　秋葉原院出張所,千代田区,千代田区神田佐久間町1-13 チョムチョム秋葉原?8F,"月〜日（祝含む）　10:00〜19:00
※予約不要
※不定休　クリニックの営業日は下記をご確認ください
https://tokyo-brain.clinic/",,True,False,
医療法人社団メディカルフロンティア TCB　東京中央美容外科　世田谷院出張所,世田谷区,世田谷区池尻2丁目31-24 信田ビル7F,"月〜日（祝含む）　10:00〜19:00
※予約不要
※不定休　クリニックの営業日は下記をご確認ください
https://tokyo-brain.clinic/",,True,False,
東京北千住ゆたかクリニック,足立区,足立区千住3-58-4,"月火水　9:00〜12:00/17:30〜19:30
木金土日祝　休み",,False,True,メールアドレスなしで受検可能
PCR検査センター  銀座鈴らん通り店,中央区,中央区銀座7-7-10,"月〜日（祝含む）　9:00〜21:00
無休",,True,True,メールアドレスなしで受検可能
青山メディカルクリニック,港区,港区南青山3-10-21 T’s BRIGHTIA 南青山 EAST 1F,"月火水金土　9:00〜19:00
木日祝　休み",03-6434-7118,True,True,メールアドレスなしで受検可能
医療法人創喜会TCB　東京中央美容外科　新宿三丁目院出張所,新宿区,新宿区新宿3-1-20　メットライフ・JTB新宿スクエア7F,"月〜日（祝含む）　10:00〜19:00
※予約不要
※不定休　クリニックの営業日は下記をご確認ください
https://tokyo-brain.clinic/",,True,False,
医療法人創喜会TCB 東京中央美容外科 中野院出張所,中野区,中野区中野3丁目34-32 凱旋ビル 3F,"月〜日（祝含む）　10:00〜19:00
※予約不要
※不定休　クリニックの営業日は下記をご確認ください
https://tokyo-brain.clinic/",,True,False,
